#,Gender,Age,Income,Camelback,Herschel,Northface,Air Jordan,Nike,Sketchers,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,Speaker - beats,Speaker - cheap,Speaker - qsc,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,Couch - modern,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,Calculator - simple,Calculator - advanced,Calculator - app,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
8b9a3e79030615b4be1a1ed712b3ecaa,Female,25 - 34,"$100,000 and above",,Herschel,,,,,Apple ear pods,,,,iPhone,,Analog watch,,,,,Swell bottle,,,maglight,,,,,,,Toothbrush - design,,Toothbrush - Sonicare,,Couch - modern,,Pen - ballpoint,,,,Calculator - advanced,Calculator - app,,,Sunglasses - generic,,,laptop - mac,Hiking/ camping/ outdoors,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,Foodie/ fine dining,,Fashion blogs / OOTD,Korean dramas/ Asian style,,,7/20/17 17:37,7/20/17 17:39,969caddb17
0b3908610c1fe29722240306f9e6f6d4,Male,25 - 34,,,Herschel,,Air Jordan,Nike,,Apple ear pods,,Beats ear buds,,iPhone,,Analog watch,,,Nalgene,,,,,,Speaker - beats,,Speaker - qsc,,Bowl - rustic,,Toothbrush - design,,Toothbrush - Sonicare,,,,,Pen - ink,,,,,,,,,,laptop - mac,Hiking/ camping/ outdoors,,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,,Design/ Making/ Crafting,,Finding deals/ couponing,,,Hip hop/ street wear,,,Thrifting/ Flea markets,,7/20/17 17:39,7/20/17 17:41,969caddb17
821b5273aa911e88db5f1be96d93ac8d,Male,25 - 34,"$75,000 - $100,000",,,,,,,,,,,iPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop - mac,,,,,,,,,,Car enthusiast,,,,,,A39Q4SNT7SRK94,7/20/17 20:38,7/20/17 20:39,431083fe26
83014742f18543b6c58119a16eba03e3,Male,25 - 34,"$35,000 - $49,999",,,,,,,,Bose ear buds,,Flip phone,,,,,,,,,,,,,,,,,,,,,,,Couch - leather,,,,,,,,,,,,,,,,,,,,,,,Foodie/ fine dining,,,,,A2UO3QJZNC2VOE,7/20/17 20:39,7/20/17 20:39,2601:844:4
02156eeb84d0168cca6d000f6716678e,Female,35 - 45,"$50,000 - $74,999",,Herschel,Northface,Air Jordan,Nike,Sketchers,Apple ear pods,,Beats ear buds,,,Samsung,,Smart watch,,,,Swell bottle,Keychain flashlight,headlamp,maglight,,,Speaker - qsc,,,,,,Toothbrush - Sonicare,Couch - normal,,,,,,,,,Sunglasses - aviators,Sunglasses - Oakley,,,,,,,,Listening to/ playing music,Travel/ roadtrips/ exploration,,,,,Car enthusiast,Foodie/ fine dining,,Fashion blogs / OOTD,,,AUSDM3KALROGI,7/20/17 20:38,7/20/17 20:39,2602:306:b
48e8d34c71a62a5a49e77f81e0911ace,Male,25 - 34,"Below $35,000",,,,,,,,,,,iPhone,Samsung,,,Digital watch,,,,,,,,,,,,,,,,Couch - normal,Couch - modern,,,,,,,,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,,,,Sports/ running/ workout,,,Movies/ Netflix/ TV,,,,Car enthusiast,,,,,Thrifting/ Flea markets,A06711361DP1JL158BWS8,7/20/17 20:38,7/20/17 20:39,6c4ecca5e0
155991e518c04f8d43f4818b2bdae526,Female,25 - 34,"$35,000 - $49,999",,,,,,,,,Beats ear buds,,,,,,,,Nike bottle,Swell bottle,,,,Speaker - beats,,,,,,,,,,Couch - modern,,,,,,,,,,,,,laptop - mac,,,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,Coding,,,,Hip hop/ street wear,,,,AVJUIF9QHQRY8,7/20/17 20:38,7/20/17 20:40,48eaff4a71
a00629245891b447495f4ba311604fee,Male,25 - 34,"Below $35,000",,,Northface,Air Jordan,,,,,Beats ear buds,,,,,,,Nalgene,,,,,maglight,,,Speaker - qsc,,,,,,,,Couch - modern,Couch - leather,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,,,,Finding deals/ couponing,,,,,,,A31Q7PWLBCU2X0,7/20/17 20:39,7/20/17 20:40,6d0f4839d4
861895595818f4d35be6cf27f56f2bb9,Male,25 - 34,"$35,000 - $49,999",Camelback,Herschel,,,Nike,,,,Beats ear buds,,,Samsung,,,,Nalgene,,,,,maglight,Speaker - beats,,Speaker - qsc,,,,,,,Couch - normal,,,,,,,,,Sunglasses - aviators,,Sunglasses - generic,,Laptop - surface,,,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,,Movies/ Netflix/ TV,,,,,Foodie/ fine dining,,,,,A2JZP4AZI1RTG4,7/20/17 20:39,7/20/17 20:40,b06cc5c8ea
45088d823b2e0f447e5dae1bae48e0eb,Male,35 - 45,"Below $35,000",,,,,,,,Bose ear buds,,Flip phone,,Samsung,,,,Nalgene,,,Keychain flashlight,,maglight,,,,,,,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Couch - normal,,Couch - leather,Pen - ballpoint,Pen - ink,Pen - mont blanc,,Calculator - advanced,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,,,,,Coding,,,,,,,,A2WWYVKGZZXBOB,7/20/17 20:38,7/20/17 20:40,2602:30a:c
