#,Gender,Age,Income,Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,headlamp,maglight,BMW,Tesla,Honda,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,notebook - baron fig,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets,Please enter your Mechanical Turk worker ID here.,Start Date (UTC),Submit Date (UTC),Network ID
ef9fefc788556e8e77931ae3e2e2a030,Male,25 - 34,"$35,000 - $49,999",,,Beats ear buds,,,,,,,,,Swell bottle,,,,,,,,bike - road,,,,,,,,,,,,,,,,,Camera - canon,,,Fan - box,,,,,notebook - moleskin,Hiking/ camping/ outdoors,,Sports/ running/ workout,,Travel/ roadtrips/ exploration,,,,,,,,,,,ADT6AD3LK64AH,7/20/17 21:08,7/20/17 21:09,6d7ae44e32
9348545f8526ea39883cd1bed7e1c053,Male,25 - 34,"Below $35,000",,,,,,,,,Digital watch,,,,,,,,,Honda,,,bike - pricey,,,,,,,,,,,Sunglasses - Oakley,,,,,,,camera - point and shoot,Fan - box,,,,,,,,Sports/ running/ workout,Listening to/ playing music,,,,,Finding deals/ couponing,,,,,,,A110TF61JJR34O,7/20/17 21:08,7/20/17 21:10,be211975db
ed339c540a54fbf2030e3b407c7aa5e3,Female,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,,,iPhone,,,,,,Nike bottle,Swell bottle,,,,,Tesla,,,bike - road,,Bowl - pattern,,Bowl - simple,,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,,,Sunglasses - aviators,,,,,laptop - mac,Camera - canon,,,,fan - clip fan,Fan - dyson,,,,Hiking/ camping/ outdoors,,,Listening to/ playing music,,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,,A1JLJ58OAJ4S9H,7/20/17 21:09,7/20/17 21:10,d61a62ee1d
359070b1d39cef5805b7a8686c772d0c,Male,25 - 34,"Below $35,000",Apple ear pods,,Beats ear buds,,iPhone,Samsung,Analog watch,,,,,,,,,BMW,Tesla,Honda,,,,,,,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,,,,,,,Hiking/ camping/ outdoors,,,,Travel/ roadtrips/ exploration,,,Coding,Finding deals/ couponing,Car enthusiast,,,,,Thrifting/ Flea markets,AT6KZZ2OTABWK,7/20/17 21:09,7/20/17 21:10,2405:204:7
14d94a215752b4b52b7a40530b5cd458,Male,35 - 45,"Below $35,000",,,Beats ear buds,,,,,,,,,,Keychain flashlight,,maglight,,Tesla,,,,,,,,,,,,Pen - ink,,,,,,Laptop - surface,,,,,,,,,,,,,,Listening to/ playing music,,,,Coding,,,,,,,,A1PTX4IB9R34LI,7/20/17 21:09,7/20/17 21:10,dd95395906
0895f6db189b311d6afb97aa884eed8c,Female,46+,"Below $35,000",,,,,iPhone,Samsung,,,,,,,Keychain flashlight,headlamp,maglight,,,,,,,Bowl - pattern,Bowl - rustic,Bowl - simple,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,,,,Fan - box,fan - clip fan,,,,,,Museums/ photography/ art,,,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,,,,,,,Thrifting/ Flea markets,A1DVNAQ217BZJF,7/20/17 21:09,7/20/17 21:10,b6849372bf
d53f82d3c6bcd9aa02792a7558a1a9cf,Female,25 - 34,"Below $35,000",,,,,,Samsung,,,,Nalgene,Nike bottle,Swell bottle,Keychain flashlight,,maglight,BMW,Tesla,,Bike - cheapest,bike - road,bike - pricey,Bowl - pattern,Bowl - rustic,,,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,,,,,notebook - composition,notebook - moleskin,Hiking/ camping/ outdoors,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,,,,Foodie/ fine dining,,,,Thrifting/ Flea markets,A3LA5P3N3KI8U7,7/20/17 21:09,7/20/17 21:11,6f3103dd6f
2aa7813def67c9db05ec3feba45cc4cf,Male,25 - 34,"$35,000 - $49,999",,Bose ear buds,,,,,Analog watch,,,,,,,,maglight,,Tesla,,,bike - road,,,,,Toothbrush - design,,,Pen - ballpoint,Pen - ink,,,,Sunglasses - generic,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,,Fan - box,,,,notebook - composition,,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,,Finding deals/ couponing,,,,,,Thrifting/ Flea markets,A3O1I9MATO3ZZN,7/20/17 21:08,7/20/17 21:11,df355d17a5
1a1808c28cc31169ddb9bb85a8b6d322,Male,25 - 34,"$100,000 and above",,,,,,Samsung,,,,,,,,,,,,Honda,,,,,,,,Toothbrush - normal,,,,,,,Sunglasses - generic,,Laptop - surface,laptop - mac,,,,,,,,,,Hiking/ camping/ outdoors,,,Listening to/ playing music,,,,,Finding deals/ couponing,,,,,,,A3QNLYEQ6WOG53,7/20/17 21:09,7/20/17 21:11,8c7a4a6a5f
becebd636aaf27dc131f811064a36795,Male,35 - 45,"Below $35,000",,,,,,,,,,,,,,,,,,,Bike - cheapest,,,,Bowl - rustic,,,Toothbrush - normal,Toothbrush - Sonicare,,Pen - ink,Pen - mont blanc,Sunglasses - aviators,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,,,notebook - composition,,,,Sports/ running/ workout,,,,,Coding,,,,,,,,A1JMD1M91WRWGB,7/20/17 21:10,7/20/17 21:11,0eb09f3aa3
bb8531947cdad1ea5fb2548fd053c927,Male,25 - 34,"$50,000 - $74,999",Apple ear pods,Bose ear buds,Beats ear buds,Flip phone,iPhone,Samsung,Analog watch,Smart watch,Digital watch,Nalgene,,,Keychain flashlight,,maglight,BMW,Tesla,Honda,Bike - cheapest,,bike - pricey,Bowl - pattern,Bowl - rustic,Bowl - simple,Toothbrush - design,Toothbrush - normal,Toothbrush - Sonicare,Pen - ballpoint,Pen - ink,Pen - mont blanc,,Sunglasses - Oakley,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,Camera - film,camera - point and shoot,Fan - box,fan - clip fan,Fan - dyson,,notebook - composition,notebook - moleskin,,Museums/ photography/ art,,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,,Coding,Finding deals/ couponing,Car enthusiast,,Hip hop/ street wear,,Korean dramas/ Asian style,Thrifting/ Flea markets,A2JLS8VHLTWVP8,7/20/17 21:09,7/20/17 21:11,1bbdb22c6c
e9cad559936eb9f5ccd85e78b5918d99,Male,25 - 34,"$50,000 - $74,999",Apple ear pods,,,,iPhone,Samsung,,Smart watch,Digital watch,,,,,,maglight,BMW,Tesla,,,,,,,,,,,,,,,,,Laptop - lenovo,Laptop - surface,laptop - mac,Camera - canon,,,Fan - box,,Fan - dyson,,,,,,,,,,,,,Car enthusiast,,,,,Thrifting/ Flea markets,A36JTIZPOO2HO5,7/20/17 21:10,7/20/17 21:11,e4abbc2626
